Model,Parameters,ROC_AUC,Encoder,Time[s]
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7653,OneHotEncoder,9.38
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7726,OrdinalEncoder,5.1
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7763,TargetEncoder,6.19
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7653,FrequencyEncoder,5.23
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.823,OneHotEncoder,4.92
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8167,OrdinalEncoder,3.05
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8229,TargetEncoder,3.97
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8193,FrequencyEncoder,3.72
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8379,OneHotEncoder,1.51
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8393,OrdinalEncoder,0.87
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8415,TargetEncoder,0.96
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8368,FrequencyEncoder,1.07
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 50",0.8447,OneHotEncoder,1.66
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 50",0.8408,OrdinalEncoder,1.04
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 50",0.8458,TargetEncoder,1.08
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 50",0.8396,FrequencyEncoder,1.22
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8265,OneHotEncoder,2.19
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8189,OrdinalEncoder,1.9
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.821,TargetEncoder,2.16
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8232,FrequencyEncoder,1.99
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8388,OneHotEncoder,1.58
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8373,OrdinalEncoder,1.43
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8403,TargetEncoder,1.61
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8379,FrequencyEncoder,1.58
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8405,OneHotEncoder,2.2
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8381,OrdinalEncoder,1.75
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8414,TargetEncoder,1.84
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8371,FrequencyEncoder,2.3
