Model,Parameters,ROC_AUC,Encoder,Time[s]
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7653,OneHotEncoder,9.24
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7763,TargetEncoder,6.26
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.756,dropped,3.82
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.823,OneHotEncoder,5.22
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8229,TargetEncoder,3.81
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8049,dropped,2.92
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8379,OneHotEncoder,1.56
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8415,TargetEncoder,0.92
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8315,dropped,0.61
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8438,OneHotEncoder,1.65
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8447,TargetEncoder,1.07
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.834,dropped,0.74
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8265,OneHotEncoder,2.3
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.821,TargetEncoder,2.13
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8101,dropped,1.67
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8388,OneHotEncoder,1.59
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8403,TargetEncoder,1.59
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.828,dropped,1.22
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8405,OneHotEncoder,2.42
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8414,TargetEncoder,1.85
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8303,dropped,1.56
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8434,OneHotEncoder,1.54
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8431,TargetEncoder,1.22
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8359,dropped,0.99
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7632,OneHotEncoder,46.95
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.776,TargetEncoder,26.56
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.736,dropped,14.5
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8321,OneHotEncoder,13.9
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8317,TargetEncoder,12.07
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8216,dropped,11.57
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8318,OneHotEncoder,27.8
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8326,TargetEncoder,24.4
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8217,dropped,22.96
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.842,OneHotEncoder,1.26
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8444,TargetEncoder,1.21
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8336,dropped,1.13
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8339,OneHotEncoder,1.28
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8412,TargetEncoder,1.25
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8343,dropped,1.11
