Model,Parameters,ROC_AUC,Threshold,Selected[%],Rejected[idx],Time[s]
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7763,0.01,100.0,[],9.5
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7773,0.015,95.0,[17],9.29
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7687,0.016,90.0,[ 8 17],8.95
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.769,0.0165,85.0,[ 5  8 17],8.82
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7661,0.017,80.0,[ 5  8 15 17],8.49
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7712,0.018,65.0,[ 3  5  8 10 13 15 17],8.15
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7664,0.02,60.0,[ 3  5  8 10 11 13 15 17],7.71
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7641,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],6.96
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8229,0.01,100.0,[],7.3
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8256,0.015,95.0,[17],7.02
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8243,0.016,90.0,[ 8 17],6.95
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.824,0.0165,85.0,[ 5  8 17],6.8
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8262,0.017,80.0,[ 5  8 15 17],6.85
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.826,0.018,65.0,[ 3  5  8 10 13 15 17],6.57
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8212,0.02,60.0,[ 3  5  8 10 11 13 15 17],6.25
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8174,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],6.01
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8415,0.01,100.0,[],4.15
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8429,0.015,95.0,[17],4.44
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.842,0.016,90.0,[ 8 17],4.35
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8419,0.0165,85.0,[ 5  8 17],4.2
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8436,0.017,80.0,[ 5  8 15 17],4.07
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.842,0.018,65.0,[ 3  5  8 10 13 15 17],4.28
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8375,0.02,60.0,[ 3  5  8 10 11 13 15 17],4.17
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8361,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],4.21
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8447,0.01,100.0,[],4.27
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8444,0.015,95.0,[17],4.43
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8431,0.016,90.0,[ 8 17],4.4
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.845,0.0165,85.0,[ 5  8 17],4.18
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8433,0.017,80.0,[ 5  8 15 17],4.29
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.844,0.018,65.0,[ 3  5  8 10 13 15 17],4.27
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8404,0.02,60.0,[ 3  5  8 10 11 13 15 17],4.24
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8367,0.025,50.0,[ 3  5  8  9 10 11 12 13 15 17],4.06
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.821,0.01,100.0,[],5.12
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8176,0.015,95.0,[17],5.05
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8195,0.016,90.0,[ 8 17],5.06
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8187,0.0165,85.0,[ 5  8 17],5.14
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8202,0.017,80.0,[ 5  8 15 17],5.09
