Model,Parameters,ROC_AUC,Imputation,Time[s]
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7653,SimpleImputer,8.32
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.765,KNNImputer,285.29
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.7697,IterativeImputer,15.94
BaggingClassifier,"n_estimators: 100, max_samples: 1.0",0.8232,none,5.83
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.823,SimpleImputer,4.23
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8136,KNNImputer,281.62
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8155,IterativeImputer,9.12
BaggingClassifier,"n_estimators: 100, max_samples: 0.5",0.8034,none,3.76
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8379,SimpleImputer,1.47
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8387,KNNImputer,280.4
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8394,IterativeImputer,6.23
HistGradientBoostingClassifier,"class_weight: None, min_samples_leaf: 20",0.8403,none,1.57
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8438,SimpleImputer,1.6
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8419,KNNImputer,280.79
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8445,IterativeImputer,5.54
HistGradientBoostingClassifier,"class_weight: {1: 20}, min_samples_leaf: 20",0.8479,none,1.38
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8265,SimpleImputer,1.78
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.8214,KNNImputer,278.5
RandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 5, max_samples: None",0.82,IterativeImputer,6.37
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8388,SimpleImputer,1.26
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8361,KNNImputer,280.63
RandomForestClassifier,"n_estimators: 100, class_weight: {1: 100}, min_samples_leaf: 20, max_samples: 0.5",0.8377,IterativeImputer,5.73
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8405,SimpleImputer,2.05
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8352,KNNImputer,281.45
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8368,IterativeImputer,6.23
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 1.0",0.8376,none,1.97
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8434,SimpleImputer,1.38
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8386,KNNImputer,281.3
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8389,IterativeImputer,6.5
BalancedBagging_UnderSampling,"n_estimators: 100, max_samples: 0.5",0.8354,none,1.41
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7632,SimpleImputer,37.22
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7583,KNNImputer,311.97
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7668,IterativeImputer,46.56
BalancedBagging_OverSampling,"n_estimators: 100, max_samples: 1.0",0.7871,none,30.53
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8321,SimpleImputer,13.27
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8316,KNNImputer,292.56
EasyEnsembleClassifier,"n_estimators: 50, max_samples: 1.0",0.8278,IterativeImputer,17.43
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8318,SimpleImputer,26.65
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8319,KNNImputer,305.41
EasyEnsembleClassifier,"n_estimators: 100, max_samples: 1.0",0.8285,IterativeImputer,31.46
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.842,SimpleImputer,1.38
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8372,KNNImputer,281.18
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 1, max_samples: None",0.8371,IterativeImputer,5.81
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8339,SimpleImputer,1.31
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8327,KNNImputer,281.25
BalancedRandomForestClassifier,"n_estimators: 100, class_weight: None, min_samples_leaf: 10, max_samples: 0.5",0.8333,IterativeImputer,5.55
